
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[295](10:04:59)[2]-- TIME:20081026-100459

[296](10:05:00)[3]-- TIME:20081026-100500

[297](10:05:00)192.168.1.31: Timeout
[298](10:05:00)192.168.1.32: Timeout
[299](10:05:01)[0]-- TIME:20081026-100501

[300](10:05:02)[1]-- TIME:20081026-100502

[301](10:05:03)[2]-- TIME:20081026-100503

[302](10:05:04)[3]-- TIME:20081026-100504

[303](10:05:04)192.168.1.31: Timeout
[304](10:05:04)192.168.1.32: Timeout
[305](10:05:05)[0]-- TIME:20081026-100505

[306](10:05:06)[1]-- TIME:20081026-100506

[307](10:05:07)[2]-- TIME:20081026-100507

[308](10:05:08)[3]-- TIME:20081026-100508

[309](10:05:08)192.168.1.31: Timeout
[310](10:05:08)192.168.1.32: Timeout
[311](10:05:09)[0]-- TIME:20081026-100509

[312](10:05:10)[1]-- TIME:20081026-100510

[313](10:05:11)[2]-- TIME:20081026-100511

[314](10:05:12)[3]-- TIME:20081026-100512

[315](10:05:12)192.168.1.31: Timeout
[316](10:05:12)192.168.1.32: Timeout
[317](10:05:13)[0]-- TIME:20081026-100513

[318](10:05:14)[1]-- TIME:20081026-100514

[319](10:05:15)[2]-- TIME:20081026-100515

[320](10:05:16)[3]-- TIME:20081026-100516

[321](10:05:16)192.168.1.31: Timeout
[322](10:05:16)192.168.1.32: Timeout
[323](10:05:17)[0]-- TIME:20081026-100517

[324](10:05:18)[1]-- TIME:20081026-100518

[325](10:05:19)[2]-- TIME:20081026-100519

[326](10:05:20)[3]-- TIME:20081026-100520

[327](10:05:20)192.168.1.31: Timeout
[328](10:05:20)192.168.1.32: Timeout
[329](10:05:21)[0]-- TIME:20081026-100521

[330](10:05:22)[1]-- TIME:20081026-100522

[331](10:05:23)[2]-- TIME:20081026-100523

[332](10:05:24)[3]-- TIME:20081026-100524

[333](10:05:24)192.168.1.31: Timeout
[334](10:05:24)192.168.1.32: Timeout
[335](10:05:25)[0]-- TIME:20081026-100525

[336](10:05:26)[1]-- TIME:20081026-100526

[337](10:05:27)[2]-- TIME:20081026-100527

[338](10:05:28)[3]-- TIME:20081026-100528

[339](10:05:28)192.168.1.31: Timeout
[340](10:05:28)192.168.1.32: Timeout
[341](10:05:29)[0]-- TIME:20081026-100529

[342](10:05:30)[1]-- TIME:20081026-100530

[343](10:05:31)[2]-- TIME:20081026-100531

[344](10:05:32)[3]-- TIME:20081026-100532

[345](10:05:32)192.168.1.31: Timeout
[346](10:05:32)192.168.1.32: Timeout
[347](10:05:33)[0]-- TIME:20081026-100533

[348](10:05:34)[1]-- TIME:20081026-100534

[349](10:05:35)[2]-- TIME:20081026-100535

[350](10:05:36)[3]-- TIME:20081026-100536

[351](10:05:36)192.168.1.31: Timeout
[352](10:05:36)192.168.1.32: Timeout
[353](10:05:37)[0]-- TIME:20081026-100537

[354](10:05:38)[1]-- TIME:20081026-100538

[355](10:05:39)[2]-- TIME:20081026-100539

[356](10:05:40)[3]-- TIME:20081026-100540

[357](10:05:40)192.168.1.31: Timeout
[358](10:05:40)192.168.1.32: Timeout
[359](10:05:41)[0]-- TIME:20081026-100541

[360](10:05:42)[1]-- TIME:20081026-100542

[361](10:05:43)[2]-- TIME:20081026-100543

[362](10:05:44)[3]-- TIME:20081026-100544

[363](10:05:45)192.168.1.31: Timeout
[364](10:05:45)192.168.1.32: Timeout
[365](10:05:45)[0]-- TIME:20081026-100545

[366](10:05:46)[1]-- TIME:20081026-100546

[367](10:05:47)[2]-- TIME:20081026-100547

[368](10:05:48)[3]-- TIME:20081026-100548

[369](10:05:48)192.168.1.31: Timeout
[370](10:05:48)192.168.1.32: Timeout
[371](10:05:49)[0]-- TIME:20081026-100549

[372](10:05:50)[1]-- TIME:20081026-100550

[373](10:05:51)[2]-- TIME:20081026-100551

[374](10:05:52)[3]-- TIME:20081026-100552

[375](10:05:52)192.168.1.31: Timeout
[376](10:05:52)192.168.1.32: Timeout
[377](10:05:53)[0]-- TIME:20081026-100553

[378](10:05:54)[1]-- TIME:20081026-100554

[379](10:05:55)[2]-- TIME:20081026-100555

[380](10:05:56)[3]-- TIME:20081026-100556

[381](10:05:56)192.168.1.31: Timeout
[382](10:05:56)192.168.1.32: Timeout
[383](10:05:57)[0]-- TIME:20081026-100557

[384](10:05:58)[1]-- TIME:20081026-100558

[385](10:05:59)[2]-- TIME:20081026-100559

[386](10:06:00)[3]-- TIME:20081026-100600

[387](10:06:00)192.168.1.31: Timeout
[388](10:06:00)192.168.1.32: Timeout
[389](10:06:01)[0]-- TIME:20081026-100601

[390](10:06:02)[1]-- TIME:20081026-100602

[391](10:06:03)[2]-- TIME:20081026-100603

[392](10:06:04)[3]-- TIME:20081026-100604

[393](10:06:04)192.168.1.31: Timeout
[394](10:06:04)192.168.1.32: Timeout
[395](10:06:05)[0]-- TIME:20081026-100605

[396](10:06:06)[1]-- TIME:20081026-100606

[397](10:06:07)[2]-- TIME:20081026-100607

[398](10:06:08)[3]-- TIME:20081026-100608

[399](10:06:08)192.168.1.31: Timeout
[400](10:06:08)192.168.1.32: Timeout
[401](10:06:09)[0]-- TIME:20081026-100609

[402](10:06:10)[1]-- TIME:20081026-100610

[403](10:06:11)[2]-- TIME:20081026-100611

[404](10:06:12)[3]-- TIME:20081026-100612

[405](10:06:12)192.168.1.31: Timeout
[406](10:06:12)192.168.1.32: Timeout
[407](10:06:13)[0]-- TIME:20081026-100613

[408](10:06:14)[1]-- TIME:20081026-100614

[409](10:06:15)[2]-- TIME:20081026-100615

[410](10:06:16)[3]-- TIME:20081026-100616

[411](10:06:17)192.168.1.31: Timeout
[412](10:06:17)192.168.1.32: Timeout
[413](10:06:17)[0]-- TIME:20081026-100617

[414](10:06:18)[1]-- TIME:20081026-100618

[415](10:06:19)[2]-- TIME:20081026-100619

[416](10:06:20)[3]-- TIME:20081026-100620

[417](10:06:20)192.168.1.31: Timeout
[418](10:06:21)192.168.1.32: Timeout
[419](10:06:21)[0]-- TIME:20081026-100621

[420](10:06:22)[1]-- TIME:20081026-100622

[421](10:06:23)[2]-- TIME:20081026-100623

[422](10:06:24)[3]-- TIME:20081026-100624

[423](10:06:24)192.168.1.31: Timeout
[424](10:06:24)192.168.1.32: Timeout
[425](10:06:25)[0]-- TIME:20081026-100625

[426](10:06:26)[1]-- TIME:20081026-100626

[427](10:06:27)[2]-- TIME:20081026-100627

[428](10:06:28)[3]-- TIME:20081026-100628

[429](10:06:28)192.168.1.31: Timeout
[430](10:06:28)192.168.1.32: Timeout
[431](10:06:29)[0]-- TIME:20081026-100629

[432](10:06:30)[1]-- TIME:20081026-100630

[433](10:06:31)[2]-- TIME:20081026-100631

[434](10:06:32)[3]-- TIME:20081026-100632

[435](10:06:32)192.168.1.31: Timeout
[436](10:06:32)192.168.1.32: Timeout
[437](10:06:33)[0]-- TIME:20081026-100633

[438](10:06:34)[1]-- TIME:20081026-100634

[439](10:06:35)[2]-- TIME:20081026-100635

[440](10:06:36)[3]-- TIME:20081026-100636

[441](10:06:36)192.168.1.31: Timeout
[442](10:06:36)192.168.1.32: Timeout
[443](10:06:37)[0]-- TIME:20081026-100637

[444](10:06:38)[1]-- TIME:20081026-100638

[445](10:06:39)[2]-- TIME:20081026-100639

[446](10:06:40)[3]-- TIME:20081026-100640

[447](10:06:41)192.168.1.31: Timeout
[448](10:06:41)192.168.1.32: Timeout
[449](10:06:41)[0]-- TIME:20081026-100641

[450](10:06:42)[1]-- TIME:20081026-100642

[451](10:06:43)[2]-- TIME:20081026-100643

[452](10:06:44)[3]-- TIME:20081026-100644

